base_folder,image_file,audio_file,caption
vggsound_00,Bu2xe4OSo_430.png,Bu2xe4OSo_000430.wav,wind noise
vggsound_00,CudrykwoE_67.png,CudrykwoE_000067.wav,cricket chirping
vggsound_00,DTR0_mIGI_11.png,DTR0_mIGI_000011.wav,people battle cry
vggsound_00,Lj4Y_96f0_120.png,Lj4Y_96f0_000120.wav,"bee, wasp, etc. buzzing"
vggsound_00,PlJNEnf-s_288.png,PlJNEnf-s_000288.wav,"bee, wasp, etc. buzzing"
vggsound_00,UE437qBIo_1.png,UE437qBIo_000001.wav,pheasant crowing
vggsound_00,UQXuZfbFY_44.png,UQXuZfbFY_000044.wav,bird wings flapping
vggsound_00,0HTFjyC-SI_7.png,0HTFjyC-SI_000007.wav,pheasant crowing
vggsound_00,0kJ0SVWD7E_30.png,0kJ0SVWD7E_000030.wav,sheep bleating
vggsound_00,0lrq0dgfnQ_15.png,0lrq0dgfnQ_000015.wav,chimpanzee pant-hooting
vggsound_00,0p7hKXZ1ww_30.png,0p7hKXZ1ww_000030.wav,lighting firecrackers
vggsound_00,0pJqpNjft4_267.png,0pJqpNjft4_000267.wav,cow lowing
vggsound_00,0u9E3dETG0_199.png,0u9E3dETG0_000199.wav,"bee, wasp, etc. buzzing"
vggsound_00,0zIOEW3mM4_16.png,0zIOEW3mM4_000016.wav,pheasant crowing
vggsound_00,0ZYW2yXKp8_22.png,0ZYW2yXKp8_000022.wav,bird wings flapping
vggsound_00,19HsqaVOHU_19.png,19HsqaVOHU_000019.wav,crow cawing
vggsound_00,1EXhfqLLwQ_150.png,1EXhfqLLwQ_000150.wav,pumping water
vggsound_00,1GJQ3c94jQ_97.png,1GJQ3c94jQ_000097.wav,cat growling
vggsound_00,1PkCejU5u8_370.png,1PkCejU5u8_000370.wav,people crowd
vggsound_00,1QUpHlvDM4_0.png,1QUpHlvDM4_000000.wav,chicken crowing
vggsound_00,1WNSmtDVi8_12.png,1WNSmtDVi8_000012.wav,owl hooting
vggsound_00,26kjr5MxSI_0.png,26kjr5MxSI_000000.wav,chicken clucking
vggsound_00,2Dm0VjW8oM_1.png,2Dm0VjW8oM_000001.wav,"pigeon, dove cooing"
vggsound_00,2Ugsiz1Ro4_88.png,2Ugsiz1Ro4_000088.wav,turkey gobbling
vggsound_00,30UVzI7M1Y_2.png,30UVzI7M1Y_000002.wav,dog whimpering
vggsound_00,32R7lVBhoI_30.png,32R7lVBhoI_000030.wav,sheep bleating
vggsound_00,37X0bRVT0g_122.png,37X0bRVT0g_000122.wav,fox barking
vggsound_00,3cvcq0X_zo_250.png,3cvcq0X_zo_000250.wav,turkey gobbling
vggsound_00,3cXcRajPSc_30.png,3cXcRajPSc_000030.wav,raining
vggsound_00,3F84DMR4fA_3.png,3F84DMR4fA_000003.wav,parrot talking
vggsound_00,3ihfHTdJSI_110.png,3ihfHTdJSI_000110.wav,chicken crowing
vggsound_00,3M-k4nIYIM_30.png,3M-k4nIYIM_000030.wav,car passing by
vggsound_00,3sX4pIZa8c_1.png,3sX4pIZa8c_000001.wav,canary calling
vggsound_00,3uypzLYfSw_0.png,3uypzLYfSw_000000.wav,people screaming
vggsound_00,3z5mFRgbxc_30.png,3z5mFRgbxc_000030.wav,driving buses
vggsound_00,405Ksmbra8_19.png,405Ksmbra8_000019.wav,chicken clucking
vggsound_00,40nDU5Ecgg_130.png,40nDU5Ecgg_000130.wav,"donkey, ass braying"
vggsound_00,46xqouqMxA_6.png,46xqouqMxA_000006.wav,cat meowing
vggsound_00,4c4jzE5y_c_5.png,4c4jzE5y_c_000005.wav,horse neighing
vggsound_00,4f9PIOK2_I_59.png,4f9PIOK2_I_000059.wav,woodpecker pecking tree
vggsound_00,4lxNixEQ2A_13.png,4lxNixEQ2A_000013.wav,penguins braying
vggsound_00,4o0jRbgHr4_30.png,4o0jRbgHr4_000030.wav,cat meowing
vggsound_00,4ObGigN498_50.png,4ObGigN498_000050.wav,lions growling
vggsound_00,4pmCrSdMhg_30.png,4pmCrSdMhg_000030.wav,horse clip-clop
vggsound_00,4pUrlMafww_1.png,4pUrlMafww_000001.wav,people screaming
vggsound_00,4u6ax5P-o8_4.png,4u6ax5P-o8_000004.wav,wood thrush calling
vggsound_00,4vYvHuiHH8_30.png,4vYvHuiHH8_000030.wav,car passing by
vggsound_00,5jd03ZiyDk_7.png,5jd03ZiyDk_000007.wav,dog growling
vggsound_00,5MpAJy294E_30.png,5MpAJy294E_000030.wav,turkey gobbling
vggsound_00,5YLszkC2Ow_30.png,5YLszkC2Ow_000030.wav,horse neighing
vggsound_00,6d7SNbycJg_33.png,6d7SNbycJg_000033.wav,airplane
vggsound_00,705iNAh-lE_30.png,705iNAh-lE_000030.wav,goose honking
vggsound_00,78SgLvt7_k_30.png,78SgLvt7_k_000030.wav,sheep bleating
vggsound_00,7IhwezUrUA_590.png,7IhwezUrUA_000590.wav,eating with cutlery
vggsound_00,7iUkVeOgkk_23.png,7iUkVeOgkk_000023.wav,airplane
vggsound_00,7MQDKG-T9Q_326.png,7MQDKG-T9Q_000326.wav,dog growling
vggsound_00,7sg--aJdrc_39.png,7sg--aJdrc_000039.wav,gibbon howling
vggsound_00,7uVGGJ9ZkM_1.png,7uVGGJ9ZkM_000001.wav,wood thrush calling
vggsound_00,7xlDhyGX4Q_193.png,7xlDhyGX4Q_000193.wav,gibbon howling
vggsound_00,7_kMQrvjpE_58.png,7_kMQrvjpE_000058.wav,"subway, metro, underground"
vggsound_00,84CyEpynsY_10.png,84CyEpynsY_000010.wav,dog barking
vggsound_00,86gl1hp1Aw_105.png,86gl1hp1Aw_000105.wav,parrot talking
vggsound_00,8FYMNYbXiE_20.png,8FYMNYbXiE_000020.wav,goose honking
vggsound_00,8lzdlqUtJQ_61.png,8lzdlqUtJQ_000061.wav,"alligators, crocodiles hissing"
vggsound_00,8pCMgGKZY8_12.png,8pCMgGKZY8_000012.wav,dog bow-wow
vggsound_00,8vFBAkXmeg_87.png,8vFBAkXmeg_000087.wav,cuckoo bird calling
vggsound_00,8x1OQ-JnUs_220.png,8x1OQ-JnUs_000220.wav,"pigeon, dove cooing"
vggsound_00,9DP8x__enM_30.png,9DP8x__enM_000030.wav,dog bow-wow
vggsound_00,9k2Z_hxYpU_130.png,9k2Z_hxYpU_000130.wav,helicopter
vggsound_00,9o-xTvC-VE_22.png,9o-xTvC-VE_000022.wav,gibbon howling
vggsound_00,9peZWsQHow_37.png,9peZWsQHow_000037.wav,mynah bird singing
vggsound_00,9RAaQK5OHU_0.png,9RAaQK5OHU_000000.wav,frog croaking
vggsound_00,9whJW7BUSU_141.png,9whJW7BUSU_000141.wav,cattle mooing
vggsound_00,9ywcjOQsFc_45.png,9ywcjOQsFc_000045.wav,airplane flyby
vggsound_00,a-v6lel_Ko_7.png,a-v6lel_Ko_000007.wav,dog growling
vggsound_00,A3cOSeUcLM_30.png,A3cOSeUcLM_000030.wav,chicken crowing
vggsound_00,A3g8R9_YpM_21.png,A3g8R9_YpM_000021.wav,mynah bird singing
vggsound_00,AeiYb4vDK0_340.png,AeiYb4vDK0_000340.wav,people eating
vggsound_00,AfJKhf6P3U_30.png,AfJKhf6P3U_000030.wav,horse clip-clop
vggsound_00,ag2m3fHOzs_10.png,ag2m3fHOzs_000010.wav,"bird chirping, tweeting"
vggsound_00,AgL2NWp9bc_30.png,AgL2NWp9bc_000030.wav,mouse pattering
vggsound_00,AIcEOzVmnI_0.png,AIcEOzVmnI_000000.wav,magpie calling
vggsound_00,aK9JKAGme0_41.png,aK9JKAGme0_000041.wav,cheetah chirrup
vggsound_00,AMsYmKRnWE_8.png,AMsYmKRnWE_000008.wav,wood thrush calling
vggsound_00,amYPD7RUYA_60.png,amYPD7RUYA_000060.wav,"bee, wasp, etc. buzzing"
vggsound_00,ANEfdF_vzE_122.png,ANEfdF_vzE_000122.wav,"cattle, bovinae cowbell"
vggsound_00,Aqjx8NLZuU_70.png,Aqjx8NLZuU_000070.wav,wind noise
vggsound_00,AS4M6Nnaow_25.png,AS4M6Nnaow_000025.wav,dog growling
vggsound_00,aUbQi149eE_80.png,aUbQi149eE_000080.wav,"bird chirping, tweeting"
vggsound_00,aVOTtH7jZo_0.png,aVOTtH7jZo_000000.wav,people screaming
vggsound_00,AvTGh7DiLI_52.png,AvTGh7DiLI_000052.wav,bird squawking
vggsound_00,AX4UT8h78Y_50.png,AX4UT8h78Y_000050.wav,"bee, wasp, etc. buzzing"
vggsound_00,aXWYfAdovc_230.png,aXWYfAdovc_000230.wav,"bee, wasp, etc. buzzing"
vggsound_00,aY9NqOlPEI_1.png,aY9NqOlPEI_000001.wav,cat meowing
vggsound_00,B-HOrOK4PQ_50.png,B-HOrOK4PQ_000050.wav,lawn mowing
vggsound_00,B6CSHRHZSA_70.png,B6CSHRHZSA_000070.wav,"pigeon, dove cooing"
vggsound_00,B7_MCn_xQo_168.png,B7_MCn_xQo_000168.wav,turkey gobbling
vggsound_00,bgIiv3J97I_150.png,bgIiv3J97I_000150.wav,cattle mooing
vggsound_00,BHvh-PUrw0_279.png,BHvh-PUrw0_000279.wav,crow cawing
vggsound_00,BIuMd0jCjU_10.png,BIuMd0jCjU_000010.wav,helicopter
vggsound_00,BlCcJuYqVA_297.png,BlCcJuYqVA_000297.wav,zebra braying
vggsound_00,boTId5CDDc_2.png,boTId5CDDc_000002.wav,pheasant crowing
vggsound_00,bxI3HLANw0_16.png,bxI3HLANw0_000016.wav,bird squawking
vggsound_00,By_0iIghuE_0.png,By_0iIghuE_000000.wav,cat caterwauling
vggsound_00,c6baaENcjA_204.png,c6baaENcjA_000204.wav,sea lion barking
vggsound_00,c7BqtlAmLs_120.png,c7BqtlAmLs_000120.wav,"bee, wasp, etc. buzzing"
vggsound_00,c8MRzSY6BI_30.png,c8MRzSY6BI_000030.wav,horse clip-clop
vggsound_00,cA-i0cm4R0_387.png,cA-i0cm4R0_000387.wav,parrot talking
vggsound_00,CEfebOUFQo_435.png,CEfebOUFQo_000435.wav,people shuffling
vggsound_00,CexapzRAPQ_51.png,CexapzRAPQ_000051.wav,ferret dooking
vggsound_00,cgr6hgQMIQ_30.png,cgr6hgQMIQ_000030.wav,wind rustling leaves
vggsound_00,CS4JTdytGw_30.png,CS4JTdytGw_000030.wav,pig oinking
vggsound_00,cT03CPlOqc_161.png,cT03CPlOqc_000161.wav,mynah bird singing
vggsound_00,ctJ8Ot7EgU_0.png,ctJ8Ot7EgU_000000.wav,cricket chirping
vggsound_00,CUgrFw8TEI_45.png,CUgrFw8TEI_000045.wav,dog whimpering
vggsound_00,cYASqmhOUo_50.png,cYASqmhOUo_000050.wav,dog bow-wow
vggsound_00,d1lAtyWGrM_17.png,d1lAtyWGrM_000017.wav,lions roaring
vggsound_00,D3xojFH4Us_10.png,D3xojFH4Us_000010.wav,chicken clucking
vggsound_00,D64b_8YJK4_46.png,D64b_8YJK4_000046.wav,barn swallow calling
vggsound_00,d6AbRPotBQ_77.png,d6AbRPotBQ_000077.wav,airplane flyby
vggsound_00,DaIYDkiR_Y_0.png,DaIYDkiR_Y_000000.wav,dog growling
vggsound_00,dckeFP03oY_224.png,dckeFP03oY_000224.wav,black capped chickadee calling
vggsound_00,dGGLcujZEs_7.png,dGGLcujZEs_000007.wav,ferret dooking
vggsound_00,dGkAZOk0UQ_38.png,dGkAZOk0UQ_000038.wav,dog growling
vggsound_00,dJIro7WeqQ_10.png,dJIro7WeqQ_000010.wav,bird wings flapping
vggsound_00,dL8Vi7gPWg_0.png,dL8Vi7gPWg_000000.wav,helicopter
vggsound_00,DLbeLd5jNE_62.png,DLbeLd5jNE_000062.wav,footsteps on snow
vggsound_00,DMGengzmu0_1.png,DMGengzmu0_000001.wav,crow cawing
vggsound_00,DPpAs6owBI_65.png,DPpAs6owBI_000065.wav,people burping
vggsound_00,DR4c2yfNLY_20.png,DR4c2yfNLY_000020.wav,chicken clucking
vggsound_00,dusYvma9cE_130.png,dusYvma9cE_000130.wav,toilet flushing
vggsound_00,dvfWWc5bQ8_30.png,dvfWWc5bQ8_000030.wav,dog bow-wow
vggsound_00,dWlxtczn7E_60.png,dWlxtczn7E_000060.wav,"bird chirping, tweeting"
vggsound_00,d_pQ3DyzHg_34.png,d_pQ3DyzHg_000034.wav,"bee, wasp, etc. buzzing"
vggsound_00,E35OMfL4A4_1.png,E35OMfL4A4_000001.wav,mouse squeaking
vggsound_00,E3eNjI4vEc_5.png,E3eNjI4vEc_000005.wav,mynah bird singing
vggsound_00,ej17LDVOJc_22.png,ej17LDVOJc_000022.wav,cat meowing
vggsound_00,Ejy1cfmrYE_30.png,Ejy1cfmrYE_000030.wav,"pigeon, dove cooing"
vggsound_00,eK8oD3wmxw_5.png,eK8oD3wmxw_000005.wav,"bee, wasp, etc. buzzing"
vggsound_00,ERY2p905dE_1.png,ERY2p905dE_000001.wav,"vehicle horn, car horn, honking"
vggsound_00,euWfKCCo70_24.png,euWfKCCo70_000024.wav,cat purring
vggsound_00,FAVc8Nc_yg_6.png,FAVc8Nc_yg_000006.wav,cattle mooing
vggsound_00,FgIPY7IO8k_15.png,FgIPY7IO8k_000015.wav,chicken crowing
vggsound_00,fH8vUheiv4_68.png,fH8vUheiv4_000068.wav,"fly, housefly buzzing"
vggsound_00,fjZl2oKZMc_32.png,fjZl2oKZMc_000032.wav,chicken clucking
vggsound_00,fjzsmbOK7M_9.png,fjzsmbOK7M_000009.wav,train whistling
vggsound_00,FKrYTj_eCU_0.png,FKrYTj_eCU_000000.wav,people screaming
vggsound_00,FoTfnPSlVM_32.png,FoTfnPSlVM_000032.wav,chinchilla barking
vggsound_00,fX6u_wIPx4_37.png,fX6u_wIPx4_000037.wav,volcano explosion
vggsound_00,g18SZ6WopQ_4.png,g18SZ6WopQ_000004.wav,bull bellowing
vggsound_00,g1q0GVBY7Y_38.png,g1q0GVBY7Y_000038.wav,squishing water
vggsound_00,G57TpNZ1hg_445.png,G57TpNZ1hg_000445.wav,crow cawing
vggsound_00,gABTTuw8vo_52.png,gABTTuw8vo_000052.wav,woodpecker pecking tree
vggsound_00,galdW8VGEQ_143.png,galdW8VGEQ_000143.wav,snake rattling
vggsound_00,GFrQ3vMJ5M_97.png,GFrQ3vMJ5M_000097.wav,wood thrush calling
vggsound_00,ghVFtymYk8_1.png,ghVFtymYk8_000001.wav,owl hooting
vggsound_00,gKy8P-N5aY_70.png,gKy8P-N5aY_000070.wav,"bird chirping, tweeting"
vggsound_00,GLVzwHQwtw_69.png,GLVzwHQwtw_000069.wav,mosquito buzzing
vggsound_00,gp5kXfvW5I_340.png,gp5kXfvW5I_000340.wav,chicken crowing
vggsound_00,grrFz0HeME_90.png,grrFz0HeME_000090.wav,"bird chirping, tweeting"
vggsound_00,gSfPQqi6nI_30.png,gSfPQqi6nI_000030.wav,cat meowing
vggsound_00,gTHRUvyivk_30.png,gTHRUvyivk_000030.wav,wind rustling leaves
vggsound_00,GtvFZwApEo_5.png,GtvFZwApEo_000005.wav,pheasant crowing
vggsound_00,gXbU1fHFoc_140.png,gXbU1fHFoc_000140.wav,"bird chirping, tweeting"
vggsound_00,H1c5S3rZSQ_48.png,H1c5S3rZSQ_000048.wav,"cattle, bovinae cowbell"
vggsound_00,H369jUtqjc_30.png,H369jUtqjc_000030.wav,"motorboat, speedboat acceleration"
vggsound_00,h5ZGw9Ci5c_450.png,h5ZGw9Ci5c_000450.wav,playing drum kit
vggsound_00,h8I3cqpgnA_85.png,h8I3cqpgnA_000085.wav,"bee, wasp, etc. buzzing"
vggsound_00,hA3ZkfDz30_500.png,hA3ZkfDz30_000500.wav,vacuum cleaner cleaning floors
vggsound_00,hd9jp0IPtE_10.png,hd9jp0IPtE_000010.wav,people burping
vggsound_00,HDZjRaKt1w_4.png,HDZjRaKt1w_000004.wav,hail
vggsound_00,hh1_3cqnPA_75.png,hh1_3cqnPA_000075.wav,wood thrush calling
vggsound_00,HHIfIzlfEA_10.png,HHIfIzlfEA_000010.wav,people farting
